"","game_str","game_id","play_id","timestamp","game_event_player_pos","event_code","coords_player_pos","field_x","field_y","distance_ft","time_ms","velocity_m_per_s","passed_to"
"1","1900_05_TeamKK_TeamB",5,56,2233184,4,2,4,1.0953,125.0583,129.916895261548,1288,30.7443087544408,"2B"
"2","1900_05_TeamKK_TeamB",5,218,8287906,4,2,4,-0.2751,125.7708,127.290661473535,1353,28.6756789483617,"2B"
"3","1900_08_TeamKL_TeamB",8,270,10237306,4,2,4,61.0839,64.2894,82.6022849123437,957,26.3084393325834,"2B"
"4","1901_02_TeamLG_TeamA3",11,99,4238996,6,2,6,-0.7908,128.6013,130.107265789463,1250,31.7253556901027,"SS"
"5","1901_02_TeamLG_TeamA3",11,282,10908790,4,2,4,-0.9615,126.2736,128.762197061172,1300,30.1897828186501,"2B"
"6","1901_05_TeamLI_TeamA3",14,81,2539203,6,2,6,2.4216,122.1453,124.776224726428,1250,30.4254346372921,"SS"
"7","1901_07_TeamLK_TeamB",16,122,4259800,4,2,4,-0.447,124.5951,127.184870410478,1200,32.3049570842613,"2B"
"8","1901_09_TeamLK_TeamB",18,64,2470233,4,2,4,0.2535,125.1051,129.00867443614,1250,31.4574751745084,"2B"
"9","1901_09_TeamLK_TeamB",18,145,5583380,6,2,6,-1.356,125.5254,127.871522087015,1350,28.8705480978683,"SS"
"10","1901_10_TeamLJ_TeamB",19,81,2925814,6,2,6,-2.1564,125.2461,127.877407922314,1500,25.9846892898143,"SS"
"11","1901_11_TeamLJ_TeamB",20,119,4220192,6,2,6,4.2876,127.7226,131.258716700492,1300,30.7751206540846,"SS"
"12","1901_11_TeamLJ_TeamB",20,152,5671441,6,2,6,-0.1068,124.5105,128.47368916319,1450,27.0060554875451,"SS"
"13","1901_11_TeamLJ_TeamB",20,174,6472940,4,2,4,0.9309,123.4125,128.766867449434,1500,26.1654274657249,"2B"
"14","1901_12_TeamLJ_TeamB",21,189,6546441,4,2,4,2.5965,122.4342,125.338024956555,1350,28.2985407457466,"2B"
"15","1901_13_TeamLL_TeamB",22,152,4842271,4,2,4,0.3336,127.0446,131.31871581218,1300,30.7891881381172,"2B"
"16","1901_14_TeamLL_TeamB",23,134,4738747,6,2,6,0.5643,125.1327,128.193191814932,1350,28.9431739742158,"SS"
"17","1901_15_TeamLL_TeamB",24,51,1744170,6,2,6,-0.3804,126.876,131.715209108478,1350,29.7383672120474,"SS"
"18","1901_16_TeamLH_TeamA3",25,87,2984074,4,2,4,1.2363,124.9287,128.494869350414,1300,30.1271047523125,"2B"
"19","1901_16_TeamLH_TeamA3",25,100,3437024,4,2,4,0.765,122.9502,126.507729017677,1300,29.66119677276,"2B"
