"","game_str","play_per_game","success","play_id","...1","game_id","timestamp","game_event_player_pos","event_code","coords_player_pos","field_x","field_y","distance_ft","time_ms","velocity_m_per_s","passed_to"
"1","1902_08_TeamMJ_TeamB",80,0,80,26,35,2887744,4,2,4,-1.0188,126.9954,129.561971348733,1250,31.5923910936751,"2B"
"2","1902_08_TeamMJ_TeamB",169,0,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1902_08_TeamMJ_TeamB",222,0,222,28,35,8463344,4,2,4,2.2701,121.8438,123.946046219353,1200,31.4822957397157,"2B"
"4","1902_09_TeamMJ_TeamB",296,0,296,30,36,11093955,4,2,4,-0.405,124.7046,126.460447508618,1200,32.120953667189,"2B"
"5","1902_12_TeamMI_TeamA3",61,1,61,33,39,1944654,4,2,4,-0.3816,123.1029,126.734819401221,1200,32.19064412791,"2B"
"6","1902_23_TeamMA_TeamA1",99,0,99,48,52,3242588,4,2,4,2.8629,125.4813,128.639020932841,1200,32.6743113169417,"2B"
"7","1902_24_TeamMA_TeamA1",34,0,34,50,53,925643,4,2,4,0.7485,124.8075,126.783932203572,1188,32.5284028077852,"2B"
"8","1902_31_TeamMF_TeamA2",101,0,101,63,61,2898396,4,2,4,0.2055,123.1152,124.414586707829,1300,29.1704354065742,"2B"
"9","1903_01_TeamNE_TeamA2",260,0,259,65,62,8545286,4,2,4,15.1116,144.1962,150.136779937496,1320,34.6679473673854,"2B"
"10","1903_01_TeamNE_TeamA2",285,0,284,66,62,9427509,4,2,4,16.7124,139.7868,145.370100729001,1287,34.4279772355863,"2B"
"11","1903_05_TeamND_TeamA2",78,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1903_06_TeamND_TeamA2",15,0,15,69,67,302024,4,2,4,-13.1535,147.9003,154.202612331471,1250,37.6007649909059,"2B"
"13","1903_06_TeamND_TeamA2",143,0,141,70,67,4571374,4,2,4,22.9899,137.2041,145.057401859126,1000,44.2134960866616,"2B"
"14","1903_07_TeamND_TeamA2",58,0,57,71,68,1587673,4,2,4,-4.2813,122.6403,126.842052099767,1350,28.6381166518585,"2B"
"15","1903_11_TeamNC_TeamA1",115,1,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1903_12_TeamNC_TeamA1",178,1,178,81,73,6282754,4,2,4,2.1627,125.3391,129.234518203033,1300,30.3005239602188,"2B"
"17","1903_15_TeamNG_TeamA3",139,0,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1903_20_TeamNL_TeamB",149,0,149,91,81,4951166,4,2,4,12.4956,129.4704,132.934470725429,1650,24.556622228552,"2B"
"19","1903_20_TeamNL_TeamB",243,0,240,93,81,8212516,4,2,4,4.368,120.7926,96.8118416891756,950,31.0613151019587,"2B"
"20","1903_21_TeamNL_TeamB",60,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1903_22_TeamNA_TeamA1",64,0,64,94,83,1685363,4,2,4,3.1659,125.1195,129.170900873223,1350,29.1639189527099,"2B"
"22","1903_22_TeamNA_TeamA1",140,0,139,95,83,3939913,4,2,4,0.771,125.0604,128.028302332453,1200,32.5191887924431,"2B"
"23","1903_22_TeamNA_TeamA1",188,0,187,96,83,5633763,4,2,4,1.2021,123.624,122.14668086563,1200,31.02525693987,"2B"
"24","1903_23_TeamNA_TeamA1",141,1,137,97,84,4334644,4,2,4,3.3147,122.2104,124.923187097672,1250,30.4612699418964,"2B"
"25","1903_25_TeamNK_TeamB",42,0,42,99,87,1475465,4,2,4,0.3318,124.5978,126.448189539352,1200,32.1178401429955,"2B"
"26","1903_29_TeamNF_TeamA2",20,0,20,102,93,493604,4,2,4,0.4617,123.8487,126.653700000355,1500,25.7360318400722,"2B"
"27","1903_29_TeamNF_TeamA2",159,0,159,106,93,5164571,4,2,4,0.7062,125.5335,127.843753962601,1150,33.8841532241745,"2B"
"28","1903_30_TeamNB_TeamA1",187,0,179,107,94,6002971,4,2,4,0.8478,126.1755,129.778026528685,1250,31.6450739887545,"2B"
