"","game_str","game_id","play_id","timestamp","player_position","event_code","pop_time"
"1","1900_05_TeamKK_TeamB",5,56,2233184,4,2,0.825
"2","1900_05_TeamKK_TeamB",5,218,8287906,4,2,0.957
"3","1900_08_TeamKL_TeamB",8,270,10237306,4,2,1.749
"4","1901_02_TeamLG_TeamA3",11,99,4238996,6,2,0.65
"5","1901_02_TeamLG_TeamA3",11,227,8802392,4,2,0.7
"6","1901_02_TeamLG_TeamA3",11,282,10908790,4,2,0.6
"7","1901_03_TeamLG_TeamA3",12,175,6116012,4,2,1.4
"8","1901_05_TeamLI_TeamA3",14,12,312905,4,2,0.8
"9","1901_05_TeamLI_TeamA3",14,12,315955,6,2,0.8
"10","1901_05_TeamLI_TeamA3",14,81,2539203,6,2,0.7
"11","1901_07_TeamLK_TeamB",16,122,4259800,4,2,0.7
"12","1901_09_TeamLK_TeamB",18,64,2470233,4,2,0.65
"13","1901_09_TeamLK_TeamB",18,145,5583380,6,2,0.6
"14","1901_10_TeamLJ_TeamB",19,81,2925814,6,2,0.75
"15","1901_10_TeamLJ_TeamB",19,207,8508758,6,2,0.85
"16","1901_11_TeamLJ_TeamB",20,39,1192395,6,2,0.75
"17","1901_11_TeamLJ_TeamB",20,119,4220192,6,2,0.65
"18","1901_11_TeamLJ_TeamB",20,152,5671441,6,2,0.65
"19","1901_11_TeamLJ_TeamB",20,174,6472940,4,2,0.5
"20","1901_12_TeamLJ_TeamB",21,189,6546441,4,2,0.6
"21","1901_13_TeamLL_TeamB",22,152,4842271,4,2,0.75
"22","1901_14_TeamLL_TeamB",23,75,2569849,6,2,0.7
"23","1901_14_TeamLL_TeamB",23,134,4738747,6,2,0.65
"24","1901_15_TeamLL_TeamB",24,51,1744170,6,2,0.75
"25","1901_16_TeamLH_TeamA3",25,87,2984074,4,2,0.65
"26","1901_16_TeamLH_TeamA3",25,100,3437024,4,2,0.7
"27","1901_17_TeamLH_TeamA3",26,18,451844,4,2,0.75
"28","1901_17_TeamLH_TeamA3",26,46,1390889,6,2,0.8
"29","1901_17_TeamLH_TeamA3",26,281,9704581,6,2,0.75
"30","1901_18_TeamLH_TeamA3",27,19,502503,4,2,0.95
"31","1901_18_TeamLH_TeamA3",27,259,8936195,4,2,0.7
"32","1902_01_TeamMG_TeamA3",28,125,3876043,6,2,0.1
"33","1902_02_TeamMG_TeamA3",29,114,3896469,4,2,0.95
"34","1902_02_TeamMG_TeamA3",29,114,3892269,6,2,0.95
"35","1902_03_TeamMG_TeamA3",30,117,3828246,4,2,0.65
"36","1902_03_TeamMG_TeamA3",30,271,9740546,4,2,1.05
"37","1902_05_TeamML_TeamB",32,17,484579,6,2,0.8
"38","1902_08_TeamMJ_TeamB",35,12,285444,6,2,0.65
"39","1902_08_TeamMJ_TeamB",35,80,2887744,4,2,0.65
"40","1902_08_TeamMJ_TeamB",35,103,3772844,6,2,0.6
"41","1902_08_TeamMJ_TeamB",35,169,6563344,4,2,0.65
"42","1902_08_TeamMJ_TeamB",35,169,6565544,6,2,0.65
"43","1902_08_TeamMJ_TeamB",35,222,8463344,4,2,0.7
"44","1902_08_TeamMJ_TeamB",35,369,14183305,6,2,0.75
"45","1902_09_TeamMJ_TeamB",36,296,11093955,4,2,0.8
"46","1902_10_TeamMI_TeamA3",37,199,7134931,4,2,0.65
