"","...1","game_str","play_per_game","success","play_id","...6","game_id","timestamp","player_position","event_code","pop_time","velocity_m_per_s"
"1",1,"1902_08_TeamMJ_TeamB",80,0,80,39,35,2887744,4,2,0.65,31.5923910936751
"2",2,"1902_08_TeamMJ_TeamB",169,0,169,41,35,6563344,4,2,0.65,NA
"3",3,"1902_08_TeamMJ_TeamB",169,0,169,42,35,6565544,6,2,0.65,NA
"4",4,"1902_08_TeamMJ_TeamB",222,0,222,43,35,8463344,4,2,0.7,31.4822957397157
"5",5,"1902_09_TeamMJ_TeamB",296,0,296,45,36,11093955,4,2,0.8,32.120953667189
"6",6,"1902_12_TeamMI_TeamA3",61,1,61,49,39,1944654,4,2,0.7,32.19064412791
"7",7,"1902_23_TeamMA_TeamA1",99,0,99,65,52,3242588,4,2,0.8,32.6743113169417
"8",8,"1902_24_TeamMA_TeamA1",34,0,34,67,53,925643,4,2,0.693,32.5284028077852
"9",9,"1902_31_TeamMF_TeamA2",101,0,101,81,61,2898396,4,2,0.55,29.1704354065742
"10",10,"1903_01_TeamNE_TeamA2",260,0,259,83,62,8545286,4,2,0.561,34.6679473673854
"11",11,"1903_01_TeamNE_TeamA2",285,0,284,84,62,9427509,4,2,0.627,34.4279772355863
"12",12,"1903_05_TeamND_TeamA2",78,0,78,86,66,2202262,4,2,0.8,NA
"13",13,"1903_06_TeamND_TeamA2",15,0,15,88,67,302024,4,2,0.7,37.6007649909059
"14",14,"1903_06_TeamND_TeamA2",143,0,141,89,67,4571374,4,2,0.7,44.2134960866616
"15",15,"1903_07_TeamND_TeamA2",58,0,57,90,68,1587673,4,2,0.7,28.6381166518585
"16",16,"1903_11_TeamNC_TeamA1",115,1,114,99,72,9270786,4,2,0.65,NA
"17",17,"1903_12_TeamNC_TeamA1",178,1,178,102,73,6282754,4,2,0.85,30.3005239602188
"18",18,"1903_15_TeamNG_TeamA3",139,0,139,NA,NA,NA,NA,NA,NA,NA
"19",19,"1903_20_TeamNL_TeamB",149,0,149,112,81,4951166,4,2,0.5,24.556622228552
"20",20,"1903_20_TeamNL_TeamB",243,0,240,114,81,8212516,4,2,2.1,31.0613151019587
"21",21,"1903_21_TeamNL_TeamB",60,0,58,NA,NA,NA,NA,NA,NA,NA
"22",22,"1903_22_TeamNA_TeamA1",64,0,64,115,83,1685363,4,2,0.65,29.1639189527099
"23",23,"1903_22_TeamNA_TeamA1",140,0,139,116,83,3939913,4,2,0.65,32.5191887924431
"24",24,"1903_22_TeamNA_TeamA1",188,0,187,117,83,5633763,4,2,1.95,31.02525693987
"25",25,"1903_23_TeamNA_TeamA1",141,1,137,118,84,4334644,4,2,0.75,30.4612699418964
"26",26,"1903_25_TeamNK_TeamB",42,0,42,120,87,1475465,4,2,0.7,32.1178401429955
"27",27,"1903_29_TeamNF_TeamA2",20,0,20,126,93,493604,4,2,0.65,25.7360318400722
"28",28,"1903_29_TeamNF_TeamA2",159,0,159,130,93,5164571,4,2,0.65,33.8841532241745
"29",29,"1903_30_TeamNB_TeamA1",187,0,179,131,94,6002971,4,2,0.65,31.6450739887545
"30",30,"1903_30_TeamNF_TeamA2",77,1,77,132,95,2211547,4,2,0.65,32.3245043242033
"31",31,"1903_30_TeamNF_TeamA2",96,0,96,133,95,2772147,4,2,0.65,31.2404262573334
"32",32,"1901_14_TeamLL_TeamB",75,0,75,22,23,2569849,6,2,0.7,NA
"33",33,"1901_14_TeamLL_TeamB",134,1,134,23,23,4738747,6,2,0.65,28.9431739742158
"34",34,"1902_05_TeamML_TeamB",17,0,17,37,32,484579,6,2,0.8,NA
"35",35,"1902_08_TeamMJ_TeamB",12,0,12,38,35,285444,6,2,0.65,30.9297053931997
"36",36,"1902_08_TeamMJ_TeamB",103,0,103,40,35,3772844,6,2,0.6,28.9799834363149
"37",37,"1902_11_TeamMI_TeamA3",25,0,25,47,38,748252,6,2,0.7,33.6509744208487
"38",38,"1902_22_TeamMA_TeamA1",117,0,117,63,51,4073690,6,2,0.75,32.0721531157614
"39",39,"1902_23_TeamMA_TeamA1",80,1,80,64,52,2463238,6,2,0.65,32.314148097545
"40",40,"1902_26_TeamMH_TeamA3",71,0,71,71,56,2315256,6,2,0.7,31.2050607632852
"41",41,"1902_26_TeamMH_TeamA3",135,0,135,73,56,4288006,6,2,0.6,35.348651030892
